,Graph,Degree
0,"[[1.00917937 1.00981464 1.0363828  ... 0.96555813 0.95393126 1.06509586]
 [1.0325247  1.06113261 1.09911993 ... 0.94522552 0.95349794 1.05791041]
 [1.02683684 1.00392768 0.98741462 ... 1.05391168 1.03021066 1.01535414]
 ...
 [1.04461738 0.98908665 0.97282793 ... 1.02161641 0.96997711 0.9714564 ]
 [0.93816049 0.95272561 0.9434131  ... 1.01566067 0.94107666 0.99146372]
 [1.04175939 0.97590006 1.02676153 ... 0.93388005 0.98793761 0.99432015]]",5
1,"[[1.00808953 1.01758148 0.99803401 ... 0.97078154 0.98856689 0.99233765]
 [1.02123554 1.04771789 1.05065903 ... 1.01333947 0.97503375 0.97151565]
 [1.02680189 0.97983462 1.03057452 ... 0.9481882  1.02574198 1.0513227 ]
 ...
 [0.96464576 0.98293578 0.97508364 ... 1.00525725 1.00639275 1.05700883]
 [0.96083859 1.01115412 0.95028044 ... 0.9363709  1.03941383 1.00175321]
 [1.01208914 0.97823923 0.98330246 ... 0.99877194 1.03891303 1.00552211]]",5
2,"[[0.94736127 1.04970112 0.93967109 ... 1.04374665 1.01648513 0.95893987]
 [1.0440613  1.03950562 1.02774702 ... 1.03577989 0.9278202  1.02322923]
 [1.02812595 1.00408094 1.01574044 ... 0.89667221 1.01996361 0.99437087]
 ...
 [0.97875344 0.96250337 0.98943924 ... 0.96278746 1.02186571 1.04423988]
 [0.99078552 1.06028393 0.99435055 ... 0.9966914  1.05325672 1.008283  ]
 [1.03301632 1.01304636 1.04105035 ... 0.97959783 0.99770074 0.97491069]]",2
3,"[[1.00678585 1.02664903 0.96801661 ... 0.96905889 1.00100196 1.02730563]
 [1.02392607 1.05863894 0.99917217 ... 1.10090174 0.99982961 0.98995235]
 [1.0556969  1.05035855 0.97805828 ... 1.06354357 0.99903228 1.05388068]
 ...
 [1.04946219 1.02127796 0.94464774 ... 0.9682374  0.99585459 1.01783974]
 [1.01358508 0.96611083 1.00966724 ... 1.04563666 0.96986565 0.95434794]
 [1.01067876 1.0780629  1.01010524 ... 1.07389006 1.03091757 0.99816478]]",3
4,"[[1.04129013 1.0133081  0.97873525 ... 1.0711053  0.99236263 0.98035623]
 [1.06955211 0.99317919 1.05944831 ... 1.10300239 0.9542655  1.0130526 ]
 [0.98497031 0.97841588 0.97990121 ... 0.99403804 1.02496049 0.98006636]
 ...
 [1.02212279 0.95136763 0.96683189 ... 0.99186073 1.03154094 0.97604228]
 [1.06124071 0.97585668 0.98079482 ... 0.97512744 0.93850624 1.03819566]
 [0.94115676 0.99111679 1.02000283 ... 0.98513508 0.96645091 1.02554583]]",4
5,"[[0.94606545 0.91535123 1.00945161 ... 1.05657083 1.02352288 1.05101246]
 [0.93536576 0.90815749 1.01193884 ... 0.95235325 1.02991097 0.95856095]
 [1.00964863 1.05401655 1.00773217 ... 1.00361137 1.04824539 0.98667539]
 ...
 [0.98913213 1.05030493 0.99707509 ... 1.05539492 1.02460963 0.92712916]
 [0.99570674 1.02172515 1.01536814 ... 0.97588103 0.98511025 0.99328135]
 [0.97868266 0.95492974 1.00454405 ... 1.0303311  0.97809596 0.93341034]]",1
6,"[[1.00645666 1.07545905 0.9397458  ... 0.99645739 1.04143213 1.05655115]
 [1.09351579 1.01209301 0.97796531 ... 1.06584253 0.96884414 1.06387507]
 [1.06571243 0.96137537 1.01274895 ... 1.03389116 1.04347033 0.96020859]
 ...
 [1.07772228 1.05334829 0.99787177 ... 0.97325585 0.97259407 0.96766576]
 [0.98463531 0.97713228 1.00427367 ... 1.02397302 1.04852097 0.99606453]
 [0.99694895 1.07323432 1.03624511 ... 0.95125537 0.97670005 1.02559705]]",1
7,"[[0.89795266 0.98663379 1.05644513 ... 0.98180963 0.93597272 1.03413784]
 [1.00940318 0.97804535 0.97893212 ... 1.01393861 1.01903879 1.04100884]
 [1.00186385 1.03278189 0.91804753 ... 1.03168071 1.02344952 0.96386456]
 ...
 [1.02787317 0.98466825 0.99815909 ... 0.97596626 0.98057311 1.0326624 ]
 [0.98940032 0.97190951 0.95317087 ... 1.03892569 0.96373859 0.98408731]
 [0.98383854 0.99213157 1.06685373 ... 1.02244074 1.00930868 0.97179282]]",5
8,"[[0.97395511 1.01209922 0.96622102 ... 1.02616787 1.06129993 1.01931019]
 [1.04088709 1.05403898 1.05255441 ... 0.99151497 0.9554585  0.98084812]
 [1.00915531 1.05332865 0.96943353 ... 0.99540793 0.98894983 0.95975383]
 ...
 [0.95583459 0.92544599 1.05114211 ... 1.03448291 0.9583383  0.96569836]
 [1.04862005 0.94584429 0.9133768  ... 0.98932814 0.98332273 1.06381721]
 [0.93737396 0.99788821 0.97097582 ... 1.01692522 1.019979   0.97294835]]",3
9,"[[0.99155486 1.03426402 1.00217362 ... 0.97209669 0.9906373  0.99029201]
 [1.00754194 1.0054607  1.00560487 ... 1.02449757 0.9918982  1.05245467]
 [0.97693976 1.00264966 1.0074038  ... 1.04269172 1.03259785 1.02128477]
 ...
 [1.01608005 0.97759942 1.02265295 ... 1.01451347 1.01716618 0.97105722]
 [0.99408106 0.99153984 1.0168024  ... 1.02416845 0.95306671 0.98893812]
 [0.98387586 0.99916487 1.01627497 ... 0.93655733 0.97837982 0.9847272 ]]",1
10,"[[1.04261574 0.98273981 0.9412549  ... 1.03468882 0.98062422 1.00399105]
 [0.99142577 1.04827581 0.95889516 ... 1.01135057 0.97538835 0.97923601]
 [1.01806546 1.02116574 0.93387528 ... 0.93653461 1.05096154 1.06150848]
 ...
 [1.02242842 1.10272659 1.00462808 ... 0.96256764 1.04628152 0.98853115]
 [0.9599094  1.00236205 1.02631326 ... 0.95386271 0.98314496 1.03742991]
 [1.01548846 0.99106403 0.93191121 ... 0.95835815 0.99390104 1.00426135]]",1
11,"[[1.01007604 0.92515822 1.05063472 ... 0.95589884 0.97395687 0.98303763]
 [0.97321948 1.06491089 0.90838402 ... 1.01701734 1.04762965 1.06543163]
 [1.10605248 0.96063094 0.93505026 ... 1.03081761 0.95731859 1.027102  ]
 ...
 [1.02825431 1.02196978 0.97625173 ... 1.09928965 1.00760847 0.9957885 ]
 [0.97857481 1.01721953 1.00298996 ... 0.96818897 0.99062875 1.02566736]
 [0.95697409 1.05237172 0.96784484 ... 1.01383446 1.01441501 1.04465299]]",3
12,"[[0.96501473 0.9818266  1.02821779 ... 0.97164085 0.97977309 0.97565005]
 [1.00457589 1.05378021 0.95456239 ... 0.97002025 1.03388037 1.02164017]
 [1.06056831 1.02857384 1.04621337 ... 1.01197084 1.00279012 0.99162992]
 ...
 [1.01168774 1.0095942  0.95541604 ... 1.00254867 1.06510646 1.04031529]
 [0.9879718  0.96442873 0.93197581 ... 1.06001979 0.98483346 1.00587705]
 [0.99089994 0.99462029 0.99200985 ... 0.99353048 1.01758717 1.00777816]]",0
13,"[[1.0109428  1.03962805 0.97722047 ... 0.92069353 0.96301738 1.05505721]
 [0.99927252 0.93437237 0.95793993 ... 1.00201415 1.03421361 1.04181171]
 [0.96239184 1.05419626 1.03549498 ... 0.95213451 0.97375676 1.04556617]
 ...
 [1.00512719 0.97878214 1.0110591  ... 1.0223284  0.97580986 0.95681745]
 [1.0610237  1.0096757  1.01556738 ... 1.02991407 0.97519732 0.96110696]
 [0.9728318  0.9500493  1.00578076 ... 0.99266083 1.02926643 1.00613051]]",3
14,"[[1.05605851 1.06628763 0.97549901 ... 0.98439787 1.00453448 0.93862736]
 [1.0297275  0.97897476 1.07099389 ... 0.93711955 1.11970284 1.10898481]
 [1.07041904 0.99701928 1.03116777 ... 1.08009248 1.02494385 1.05777485]
 ...
 [0.99554388 1.03673228 1.09444047 ... 1.04186717 1.00367389 1.01466446]
 [1.06690087 0.98012297 0.98801346 ... 0.96997464 1.01940395 1.0071506 ]
 [1.03017132 0.89413519 1.02514517 ... 0.98137296 0.99224927 1.06946748]]",4
15,"[[1.03309481 0.95529743 1.01725408 ... 1.0336342  0.98104933 1.01212465]
 [1.00638398 0.91109924 0.96412943 ... 1.03962222 1.0175679  0.98771252]
 [1.012516   1.01433938 0.9570205  ... 0.98912805 1.02996302 1.00770294]
 ...
 [1.05230736 0.9577024  1.00566476 ... 0.97006275 1.03253054 0.99878375]
 [1.02635015 0.93569062 1.05664568 ... 1.02184893 1.01230886 0.99646065]
 [0.97091902 0.91358142 0.95512911 ... 1.05011542 0.96121992 1.0145071 ]]",4
